Company_name,Rating,NumberOfUserReview,Type,Location,Region
BASF Industries,4,-2,Chemical industry,"H93R+XR3, Debendra Chandra Dey Rd",Kolkata
Teesta Agro Industries Limited,4,-1,Manufacturer,"63/1/2, Shanti Appartment, 2nd Floor, Sarat Bose Road, Bhawanipur",Kolkata
Nanda Millar Company,4.5,-2,Manufacturer,"1/2, Chanditolla Branch Road",Kolkata
Merisant India Private Limited,4,-1,Manufacturer,"202, The Chambers, 1865, Rajdanga Main Rd",Kolkata
Alembic,3.3,-3,Pharmaceutical company,"225C, AJC Bose Rd",Kolkata
Alstom,4,-6,Manufacturer,Millenium City IT Park,Kolkata
Itobuz Technologies Pvt. Ltd.,4.7,-41,Software company,"Webel STP II Building, 53",Kolkata
Pfizer India Ltd.,5,-1,Pharmaceutical company,No. 2/7 Sarat Bose Road Lake Gardens,Kolkata
Alkem Laboratories Ltd,4.5,-6,Pharmaceutical company,"700141, Budge Budge Trunk Rd",Kolkata
EMC Limited,3.7,-98,Manufacturer,"51, Canal East Rd, Daspara, Ultadanga",Kolkata
SMSRC Private Limited,3.8,-28,Corporate office,"Acropolis, 1858/1, Rajdanga Main Rd",Kolkata
Crescent Foundry,3.8,-13,Manufacturer,"Lords Building, 7/1, Lord Sinha Road",Kolkata
Intelgic Technologies Pvt. Ltd.,4.9,-9,Automation company,"St No 360, Rishi Tech Park, 2nd Floor, Unit No. B6",Kolkata
IFB Industries Limited,2.8,-13,Manufacturer,"3rd Floor, Plont No-ind-5",Kolkata
Genpact India,4.3,-879,Corporate office,"Candor Techspace, Ground & 1st Floor, Plot No. 1, 2, 3 & 3/1 IT/ITES SEZ Block-G, Block-DH, Tower G3 Jyoti Basu Nagar",Kolkata
Coal India Limited,4.6,-412,Mining company,"MAR Plot No, Coal Bhawan, Premise No-04",Kolkata
Canberg Global Sourcing Pvt. Ltd.,4.1,-24,Corporate office,FD 205,Kolkata
Hindusthan National Glass & Industries Ltd,4,-57,Corporate office,"2, Red Cross Pl",Kolkata
Bengal Chemicals & Pharmaceuticals Building,4.3,-100,Corporate office,"6, Ganesh Chandra Ave",Kolkata
Pataka Industries Pvt. Ltd.,4.5,-2,Manufacturer,"No. 97, New Park St",Kolkata
Balmer Lawrie .,4.1,-61,Manufacturer,"21, Netaji Subhas Rd",Kolkata
Mankind Pharma office,4.1,-15,Corporate office,"5, Kustia Rd",Kolkata
ASVOUT BIOTECH PVT. LTD.,4.8,-21,Pharmaceutical company,"174/G, Linton St",Kolkata
Indoco Remedies Limited,3.9,-8,Pharmaceutical company,"P61/1, C I T Road, Beliaghata",Kolkata
PCM Group Of Industries,4,-2,Real Estate Builders & Construction Company,"No.10C,4th Floor,Block - C, INCOME TAX SETTLEMENT COMMISSION, Middleton Row,Park Street",Kolkata
Ganesh Products Private Limited,4.8,-33,Manufacturer,"2, Digambar Jain Temple Rd",Kolkata
Birla Sugar,4.1,-7,Corporate office,"9/1, R.N. Mukherjee Road, Birla Building, 5th Floor",Kolkata
BENGAL GAS COMPANY LIMITED,3.4,-32,Corporate office,"IIC, 1ST FLOOR, International Finance Centre, One Rajarhat Block-A, North",Kolkata
Bengal Chemicals,4.4,-48,Chemical Manufacturer,"157, Bengal Chemical, 14, Maniktala Main Rd",Kolkata
Abdos Consumer Care Limited,4.4,-9,FMCG Manufacturer,"13A, Government Pl",Kolkata
Usha Martin,4.2,-111,Manufacturer,"2A, Shakespeare Sarani Rd",Kolkata
WIST Water Solutions Pvt Ltd (DRINKWELL ),5,-40,Water treatment supplier,"1st Floor, 19B, Hindustan Rd",Kolkata
Britannia Industries Limited,3.8,-35,Corporate office,"5/1a, Picasso Bithi",Kolkata
Jindal (India) Limited,4.1,-16,Corporate office,"LMJ Chamber, 2nd Floor, 15C, Hemanta Basu Sarani, B B D Bagh",Kolkata
Almatis Alumina Pvt. Ltd.,4.6,-7,Aluminium Supplier,"No. 6, Little Russel Street, Middleton St",Kolkata
Arora Group Sandmines,4.3,-313,Corporate office,"1809, 18th Floor, Srijan Corporate Park Plot Plot G2",Kolkata
Sankalp Semiconductor Pvt Ltd,4.6,-25,Corporate office,"302, Block 2B, Ecospace Business Park",Kolkata
OnProcess Technology,4,-145,Corporate office,"12th Floor, OMEGA, Bengal Intelligent Park",Kolkata
Bengal Intelligent Park,4.5,-136,Corporate campus,"A2, M2 & N2, Street Number 18",Kolkata
Baid Agro Products Private Limited,4,-1,Manufacturer,"Diamond Heritage, 16, Strand Rd",Kolkata
N.J.M.C. Ltd.,4.7,-6,Corporate office,"Chartered Bank Buildings,2nd Floor,4, Netaji Subhas Road",Kolkata
Kellogg India Pvt Ltd,4.2,-5,Food products supplier,"4a, PS ARCADIA CENTRAL, 4A, Camac St",Kolkata
Pallishree Ltd.,3.4,-5,Food products supplier,"7, Indian Mirror St",Kolkata
ITC Limited,4.4,-176,Manufacturer,"93/1, Karl Marx Sarani Rd",Kolkata
Suranjan & company Paint Manufacturer,5,-2,Paint Manufacturer,Ramrajatala Station Rd,Kolkata
NEOMACHINE Mfg. Co. Pvt. Ltd.,4,-2,Pharmaceutical company,"39/2A, Purna Das Rd",Kolkata
Corium Technochem,5,-5,Chemical Manufacturer,"GREEN FIELD CITY, BLOCK 20, FLAT 9 E",Kolkata
Ashirvad Food Products Pvt. Ltd.,3.1,-7,Corporate office,"Diamond Chambers, Suite No.4J, 4, Chowringhee Ln",Kolkata
Hindustan Cables Limited,4,-1,Manufacturer,"9, Elgin Rd",Kolkata
Vikas Hitech Castings-Investment Casting Foundry,5,-6,Foundry,·,Kolkata
KAHM Tower,4.3,-30,Corporate office,"2nd, New Market Clock Tower, 13, Lindsay St",Kolkata
Process Galvaniser,5,-1,Manufacturer,"23-A, Netaji Subhas Road 1st Floor, Room No: 11-A",Kolkata
Ruth & Company Private Limited,4,-10,Manufacturer,"11, BBD Bag E Dal Housie Square East",Kolkata
Sodexo Kolkata,4.4,-49,Corporate office,EN-7,Kolkata
SMS group - SMS India Pvt Ltd.,4.5,-14,Metal fabricator,"K-1, EP & GP",Kolkata
ITC Limited,4.6,-312,Corporate office,"37, Jawaharlal Nehru Rd",Kolkata
Universal Corporation Ltd.,2.9,-44,Corporate office,"4, 1, Middleton St",Kolkata
Lenze Mechatronics Pvt. Ltd.,5,-2,Automation company,"8th Floor, Techno Polis",Kolkata
Goodricke Group Limited,4.4,-83,Tea Manufacturer,"14, Gurusaday Dutta Rd",Kolkata
Shrachi EcoPal,4.2,-300,Portable toilet supplier,"8th Floor, Shrachi Towers, 686, Anandapur EM Bypass, RB Connector Junction",Kolkata
Sriram Associates Private Limited,,,Corporate office,"14, Netaji Subhas Rd",Kolkata
LTIMindtree,4.7,-140,Software company,"18th floor, HCHP+W8J Adventz Infinity, Adventz Infinity @5, 18th floor, Street Number 18",Kolkata
AMRIT EXPORTS PVT. LTD.,3.6,-299,Manufacturer,"En-26, EN-24, Street Number 14",Kolkata
B G Distributors Pvt Ltd,4.2,-53,Corporate office,"Merlin Infinite DN-51, 905",Kolkata
Strathspey,4,-19,Pharmaceutical company,"228A, Acharya Jagdish Chandra Bose Rd",Kolkata
Palsons Derma Pvt Ltd,4.4,-37,Pharmaceutical company,"E 7-92, New Biren Roy Road West, Behala",Kolkata
Avadh Sugar & Energy Ltd.,,,Food manufacturer,"9, 1, RN Mukherjee Rd",Kolkata
Nalco Water India Ltd.,,,Manufacturer,"1, Lenin Sarani",Kolkata
Denave India Pvt. Ltd.,3.6,-11,Corporate office,"Plot no. 108, Block-B, Rajdanga Main Rd",Kolkata
TECHNIXIA AUTOMATION PRIVATE LIMITED,5,-98,Automation company,"3ES8, MANI CASADONA, plot, 04, Street Number 372",Kolkata
Prakash Spices Private Limited,4.6,-19,FMCG Manufacturer,"42, Sibtala St",Kolkata
Hindustan Motors Limited,4.2,-10,Corporate office,"Birla Building, 10th Floor, Western Side, 9/1, R. N. Mukherjee Road",Kolkata
Dongfang Electric (I) Pvt. Ltd.,4.3,-195,Corporate office,·,Kolkata
Stadmed Private Limited,3.7,-42,Corporate office,"Kumud Apartment, 14A, Satyendranath Mazumder Sarani",Kolkata
Pursuit Software INC.,4.5,-92,Software company,"SDF Building, Unit # 128, Salt Lake, Electronics Complex, Sector V",Kolkata
United Spirits Limited -Diageo,4.3,-61,Alcohol Manufacturer,"1858, Rajdanga Main Rd",Kolkata
Bipl Omega Tower,4.4,-231,Corporate office,"11, RDB Blvd",Kolkata
DPURE,5,-1,Manufacturer,"6, Brabourne Rd, near passport office",Kolkata
Unified Infotech | Best Web Design and Development Company In India,4.1,-180,Website designer,"1st Floor Plot, Block-B No - 53, Webel STP II Building",Kolkata
Sonodyne Pvt. Ltd.,3.4,-14,Electronics manufacturer,98 NB,Kolkata
Khadim India Ltd. Corporate Office,4.3,-116,Corporate office,"7th Floor, DLF IT Park, 7th Floor, TOWER-C",Kolkata
Safechem Industries,4,-4,Chemical Manufacturer,"25a, Khagen Chatterjee Road, Cossipore, Cossipore",Kolkata
Bit Wave Solutions Pvt Ltd,4.1,-27,Software company,"Unit 602, Shaila Towers, J-1/16, EP & GP Block, Sector- V, Electronics Complex, Salt Lake,, Block EP J-1/16, Sector-V, Salt Lake",Kolkata
Mahindra & Mahindra Limited,3.9,-25,Manufacturer,"51, 1st Floor, Apeejay House, Park Street, 31 Chowringhee Road",Kolkata
CLOSET Main Headquarters,,,Manufacturer,"4, India Exchange Pl Rd",Kolkata
CIL Office,4.5,-53,Corporate office,HCJV+PGC,Kolkata
McNROE Consumer Products Pvt Ltd,4,-87,Corporate office,Sector V Godrej Genesis Building,Kolkata
LUX INDUSTRIES LTD,4.4,-118,Corporate office,Adventz Infinity,Kolkata
Exide Industries Limited,4.2,-214,Corporate office,"6A Hatibagan Road, Entally",Kolkata
Balarampur Chini Mill,4.3,-13,Manufacturer,"2nd Floor, 234/3A, 700020, FMC Fortuna, A J C Bose Road, Sreepally, Bhowanipore",Kolkata
INSILICA,5,-5,Manufacturer,"F7M9+P2X, N.L.Chatterjee Road, P.O. Raipur",Kolkata
Bellissa Pharmaceuticals Pvt. Ltd.,4.8,-12,Pharmaceutical company,"17 2 30, Netaji Subhash Chandra Bose Rd",Kolkata
Cognizant Technology Solutions,4.4,"-2,044",Corporate office,"ICICI Bank Salt Lake Sector 5, 24*7 Electronic Branch, Technocomplex , Saltlake Electronic Complex, Plot GN-34/3, Street Number 27",Kolkata
IRCON Regional Office,4.6,-12,Corporate office,,Kolkata
Sunny Trexim Private Limited,,,Cotton mill,"2nd Floor, AJC Towers, 204, Acharya Jagdish Chandra Bose Rd",Kolkata
Ericsson India Global Services Pvt. Ltd. Kolkata office,4.6,"-1,308",Corporate office,"700, DLF IT Park II, Dlf It Park 2, Block 1A, 156, Jamshedji Tata Rd",Kolkata
"Fairlie Place, Eastern Railway Head Office",4.2,"-1,175",Corporate office,"17, Fairlie Pl Rd",Kolkata
Amul Office,4.2,-161,Corporate office,"Salt Lake Stadium Road, IB-197",Kolkata
iMerit Technology,4.3,-429,Corporate office,"Plot No. J4, 4th Floor, Vishnu Chambers",Kolkata
Acknit Industries Limited,4.3,-9,Corporate office,7,Kolkata
NU Vista Limited - Double Bull Cement (Formerly Emami Cement Ltd),4.4,-65,Corporate office,"DLF IT Park, Tower C, 10th Floor, Premises No: 08, Major Arterial Road (South East Extension)",Kolkata
Kre8iveminds Technologies - Website Designing Web Development Company in Kolkata,4.7,-224,Website designer,"16, Gangadhar Babu Lane near Central Metro Station",Kolkata
"Godrej Waterside - Tower 2, Kolkata",4.5,"-1,471",Corporate office,Ring Rd,Kolkata
Central Inland Water Transport Corporation Limited,3.3,-12,Government office,"Tea Transit Sheds, 6, Garden Reach Road, Birju Nala Rd",Kolkata
IFB Industries,4.7,"-1,100",Manufacturer,Taratala Rd,Kolkata
JUVAS,3.4,-29,Electronics manufacturer,"2nd floor, 17, Ezra St",Kolkata
Technopolis Building,4.4,"-5,618",Corporate office,"HCHQ+V3X, Street Number 1",Kolkata
Farinni Leather Private limited,4.8,-5,Back Office,"37, Kala Mandir,, Shakespeare Sarani Rd",Kolkata
Rasoi Court,4.2,-5,Manufacturer,"H992+VV5, Binoy Badal Dinesh Bag E",Kolkata
West Bengal Pharmacy Council,2.8,-455,Pharmaceutical company,"Ground, Purta Bhawan, Sec-1, West Division, Room No.5 & 6",Kolkata
Spencers Retail Limited,4,-131,Corporate office,"1st Floor, Duncan House, 31, Netaji Subhas Rd, opposite Gillander House",Kolkata
PEERLESS BHAVAN,4.4,-61,Corporate office,"H88X+GP2, Esplanade East",Kolkata
Godrej Genesis,3.7,"-1,259",Building design company,Street Number 18,Kolkata
Trivitron Healthcare,,,Medical technology manufacturer,"18, PRD Link Rd",Kolkata
Bandhan Bank Head Office,4.1,-411,Corporate office,"Floor 11, Adventz Infinity, BN 5, Street Number 18",Kolkata
Intelligent Image Management Pvt. Ltd (IIMI),3.3,-92,Corporate office,"ECOSPACE BUSINESS PARK, 4A 7th Floor, Premises",Kolkata
Wipro Tower 1,4.5,-64,Corporate office,"Plot no 1, 7, 8 & 9, Block DM, Sector V, Salt Lake",Kolkata
Millennium City IT Park (Rungta Group),4.5,"-1,332",Corporate office,DN 62,Kolkata
AFF Aromatics Private Limited,2.7,-7,Manufacturer,"No. 43, Door No. 101, Kala Mandir, Century Towers, Shakespeare Sarani Rd",Kolkata
Industrial Boilers Ltd,,,Manufacturer,"On, Topaz, 23, Gobinda Banerjee Lane, Prince Anwar Shah Rd",Kolkata
Pinnacle Infotech Solutions,4.3,635,Corporate office,Sahid Sukumar Banerjee Sarani,Durgapur
Swadesh Softwares Pvt. Ltd - Custom Software Development Company in Durgapur,4,186,Software company,"UCP, 016, Ambedkar Sarani",Durgapur
Webel IT PARK - Durgapur,4.2,566,Corporate office,,Durgapur
Toolsvilla.com,4.4,"1,727",E - Commerce Agency,"Ananda Gopal Mukherjee Sarani Rd, opposite HDFC Bank",Durgapur
Shyam Steel Industries Ltd.,4.2,121,Manufacturer,Burdwan District Angadpur Raturia,Durgapur
alstom office,4.1,15,Corporate office,G8FH+67V,Durgapur
Alloy Steels Plant,4.3,67,Manufacturer,G7H9+7PF,Durgapur
Lnt Durgapur,4.3,31,Corporate office,,Durgapur
"Zonal Ordanance Factory, CISF DSP DURGAPUR",4.8,4,Electronics store,,Durgapur
KMC & COMPANY,5,4,Corporate office,,Durgapur
"D P L POWER PLANT, Durgapur",4.1,31,Power station,,Durgapur
J,,,Engineering consultant,,Durgapur
SS Solution | Durgapur,3.6,52,Corporate office,AS-4/11 54 Feet Road Near Ashiyana Bhavan,Durgapur
Durgapur,,,Home automation company,,Durgapur
Adken Global Pvt ltd,,,Business networking company,,Durgapur
