Company_name,review,no_review,type,region
Vestige Marketing Pvt.ltd,3.8,38,Corporate office,asansol
Larsen & Toubro,4.0,22,Real Estate Builders & Construction Company,asansol
Webel IT Park Asansol Branch,3.8,52,Corporate campus,asansol
The Oriental Insurance Company Limited,3.5,31,Insurance company,asansol
"LIC of India, Divisional Office",4.3,409,Insurance company,asansol
Shadowfax office asansol,1.6,8,Delivery service,asansol
"LIC of India, Satellite Office",3.9,39,Insurance company,asansol
Bike Centre,2.2,22,Helmet Shop,asansol
Max Life Insurance,2.2,9,Insurance company,asansol
Sheth Industries,5.0,27,Paving materials supplier,asansol
CAMS (Computer Age Management System Ltd.),4.7,3,Investment company,asansol
Tata AIG General Insurance Company Limited,3.0,4,Insurance company,asansol
Euraka Forbes Office in Asansol,4.3,4,Office equipment supplier,asansol
Nippon India Mutual Fund,5.0,14,Investment company,asansol
Hindustan Petroleum Corporation Limited,5.0,1,Oil refinery,asansol
93.5 Red Fm Office Asansol,4.0,10,Radio broadcaster,asansol
National Insurance Co Limited,4.0,31,Insurance company,asansol
MOLOY GHATAK OFFICE,5.0,1,Apartment building,asansol
Amazon Easy store Asansol,,,E - Commerce Agency,asansol
Mahindra Finance in Ushagram,,,Financial institution,asansol
STAR HEALTH AND ALLIED INSURANCE COMPANY LIMITED,4.0,6,Health insurance agency,asansol
Star Health Insurance Asansol,3.9,12,Insurance agency,asansol
Blue Dart DHL Office,3.1,118,Courier service,asansol
Myntra delivery office,2.4,8,Delivery service,asansol
ICICI Prudential Life Insurance Company Limited,4.0,1,Insurance company,asansol
Amway India Enterprises Pvt Ltd,4.9,21,Health and beauty shop,asansol
E-Cafe,5.0,8,Internet shop,asansol
Quality Implementation Certification,5.0,4,Consultant,asansol
ANITA & COMPANY,5.0,2,Tax consultant,asansol
National Insurance,3.5,21,Insurance company,asansol
Job mart asansol job placement consultancy,4.6,223,Unemployment office,asansol
SIS (india) ASANSOL,3.2,5,Security service,asansol
Bajaj Allianz General Insurance Company,4.6,12,Insurance agency,asansol
Bharti AXA Life Insurance Co.Ltd,4.2,29,Life insurance agency,asansol
RSS Karyalay Asansol,4.6,48,Social services organization,asansol
Scob Gate,3.8,32,Iron & Steel Industry,asansol
Motilal Oswal Financial Services Limited,4.9,86,Stock broker,asansol
info KING (TIN FC-PAN Centre & Digital Signature Provider),,,Computer support and services,asansol
G4S secure solution(i) pvt ltd. Asansol Branch.,4.7,12,Security guard service,asansol
"STAR HEALTH INSURANCE,Best Health insurance specialist",5.0,3,Health insurance agency,asansol
Religare Securities Limited,2.3,4,Stock broker,asansol
Shriram Finance Limited,,,Financial advisor,asansol
DTDC Express Asansol Retail,4.3,145,Courier service,asansol
P.C.Chatterjee Market,4.1,156,Business center,asansol
Kumarpur Telephone Exchange,3.8,109,Telephone exchange,asansol
TIME TRACK INFO,3.7,26,Appliances customer service,asansol
SkyKing Courier - Asansol,2.0,16,Courier service,asansol
ADDA Industrial Estate,4.5,2,Business park,asansol
JIO FIBER Faizan Ali,3.0,2,Internet service provider,asansol
Blue Dart,3.3,70,Courier service,asansol
Star Health and Allied Insurance Co Ltd,4.0,3,Insurance agency,asansol
Aadhar Housing Finance Ltd,3.1,7,Financial institution,asansol
DTDC International,3.4,49,Courier service,asansol
IIFL Finance,4.0,5,Financial institution,asansol
A MD & Associates - CA in Asansol | Taxation in Asansol | Chartered Accountant,4.9,26,Certified public accountant,asansol
DELHIVERY COURIER SERVICES,4.7,107,Courier service,asansol
Chartered Consultancy Services - CA in Asansol | GST IN ASANSOL,4.8,36,Accountant,asansol
GATI KWE EXPRESS,1.4,11,Courier service,asansol
CYBER CITY,,,Photo shop,asansol
Asansol Jn,4.3,"13,342",Train station,asansol
HDB FINANCIAL SERVICES LTD,,,Financial institution,asansol
HDB Financial Services - Asansol Branch,2.8,18,Financial institution,asansol
Airtel (Customer Care),3.1,35,Telecommunications service provider,asansol
"Dell Exclusive Store - GT Road, Asansol",4.0,103,Computer store,asansol
Motilal Oswal Financial Services Limited,5.0,13,Stock broker,asansol
Chatterjee Plaza.,4.0,423,Market,asansol
Akash Electronics,3.9,10,Electronics store,asansol
in Asansol,,,Psychiatrist,asansol
DTDC,3.4,42,Courier service,asansol
Abandoned - Food Corporation of India (FCI) Warehouse,1.7,7,Warehouse,asansol
PruDent Financial Consultant,,,Financial institution,asansol
West Bengal Electronics Industry Development Corporation Limited,4.2,416,Corporate office,bidhannagar
Cognizant Technology Solutions,4.4,"2,044",Corporate office,bidhannagar
India Power Corporation,4.4,101,Corporate office,bidhannagar
Haldia petrochemicals Ltd.,4.6,215,Corporate office,bidhannagar
Office,5.0,2,Corporate office,bidhannagar
Expertbizz Private Limited,4.4,47,Corporate office,bidhannagar
Jacobs Engineering India Pvt. Ltd.,4.6,47,Corporate office,bidhannagar
B G Distributors Pvt Ltd,4.2,53,Corporate office,bidhannagar
Pine Labs Pvt. Ltd (Kolkata Office),3.0,34,Corporate office,bidhannagar
Tata Power Solar Regional Office East,3.0,2,Corporate office,bidhannagar
Fusion - BPM Solutions Provider in India,3.7,"1,446",Corporate office,bidhannagar
ABCI Infrastructures Corporate Office,3.9,14,Corporate office,bidhannagar
LUX INDUSTRIES LTD,4.4,118,Corporate office,bidhannagar
Nuevotech Industries Private Limited,2.8,4,Corporate office,bidhannagar
Ambuja Neotia Ecostation Business Tower,4.1,223,Corporate office,bidhannagar
cognition group,2.5,8,Corporate office,bidhannagar
Infinity Think Tank,4.4,"2,050",Corporate office,bidhannagar
Bipl Omega Tower,4.4,231,Corporate office,bidhannagar
Bidhannagar Municipal Corporation,1.0,1,Corporate office,bidhannagar
Iskraemeco India Pvt. Ltd.,4.4,12,Corporate office,bidhannagar
Technopolis Building,4.4,"5,618",Corporate office,bidhannagar
Canberg Global Sourcing Pvt. Ltd.,4.1,24,Corporate office,bidhannagar
Markets And Concepts Pvt Ltd,4.4,12,Corporate office,bidhannagar
Wipro Limited,3.8,6,Corporate office,bidhannagar
The West Ben­gal Power Devel­op­ment Cor­po­ra­tion Limited,4.3,173,Corporate office,bidhannagar
Perfetti Van Melle India Pvt Ltd. (East Branch office),4.4,21,Corporate office,bidhannagar
CogentHub Private Limited,3.4,362,Corporate office,bidhannagar
Esri India Technologies Ltd.,5.0,4,Corporate office,bidhannagar
NSIC,4.3,31,Corporate office,bidhannagar
RELIANCE CORPORATE IT PARK LIMITED,4.7,66,Corporate office,bidhannagar
Hotel Sonar Bangla Corporate Office,4.6,30,Corporate office,bidhannagar
OnProcess Technology,4.0,145,Corporate office,bidhannagar
Shristi Infrastructure Development Corp. Ltd,4.1,100,Corporate office,bidhannagar
Martin Burn Business Park,4.4,"2,183",Corporate office,bidhannagar
Microsoft Corporation India Pvt Ltd (Kolkata Office),4.5,34,Corporate office,bidhannagar
LINXON INDIA PVT LTD,5.0,2,Corporate office,bidhannagar
Nipl Head Office,4.7,10,Corporate office,bidhannagar
Reckitt Benckiser East Regional Office,4.5,4,Corporate office,bidhannagar
EN - 6,4.7,7,Corporate office,bidhannagar
Shera Hosiery Corporate Office,2.5,2,Corporate office,bidhannagar
Goldstone Cements Limited,4.8,6,Corporate office,bidhannagar
Adventz Infinity@ 5,4.5,456,Corporate office,bidhannagar
Salescom Services Private limited,4.3,20,Corporate office,bidhannagar
Wipro Tower 1,4.5,64,Corporate office,bidhannagar
Bandhan Bank Head Office,4.1,411,Corporate office,bidhannagar
Millennium City IT Park (Rungta Group),4.5,"1,332",Corporate office,bidhannagar
McNROE Consumer Products Pvt Ltd,4.0,87,Corporate office,bidhannagar
Vooraf Technology Pvt. Ltd.,3.9,52,Corporate office,bidhannagar
Paapri Cloud Technologies,4.7,33,Corporate office,bidhannagar
Amul Office,4.2,161,Corporate office,bidhannagar
Machinesense,4.1,29,Corporate office,bidhannagar
PwC SDC Kolkata Private limited,4.5,413,Corporate office,bidhannagar
Wizertech Informatics Pvt. Ltd.,4.4,83,Corporate office,bidhannagar
Lupin LTD.,4.7,26,Corporate office,bidhannagar
Cummins Office,5.0,2,Corporate office,bidhannagar
Bengal Shristi,4.1,14,Corporate office,bidhannagar
Infinity BenchMark,4.4,"1,048",Corporate office,bidhannagar
EVAC ENGINEERING PROJECTS PVT. LTD.,4.5,18,Corporate office,bidhannagar
"Protiviti, Kolkata",4.6,39,Corporate office,bidhannagar
Arora Group Sandmines,4.3,313,Corporate office,bidhannagar
Omega Tower North,4.4,28,Corporate office,bidhannagar
All India Jio Tower Installation Company,5.0,1,Corporate office,bidhannagar
"Greaves Cotton Ltd, Kolkata Office",4.3,4,Corporate office,bidhannagar
NLB Technology Services Private Ltd.,4.2,23,Corporate office,bidhannagar
MOL Sector V,5.0,2,Corporate office,bidhannagar
Kredent Group,4.2,100,Corporate office,bidhannagar
Sodexo Kolkata,4.4,49,Corporate office,bidhannagar
ANTARIKSH TECH PARK,3.9,16,Corporate office,bidhannagar
TTK Prestige Headquarters,,,Corporate office,bidhannagar
Oracle India Pvt. Ltd.,4.8,9,Corporate office,bidhannagar
Aidni Infotech Private Limited,4.2,100,Corporate office,bidhannagar
Progility Technologies Pvt. Ltd.,3.6,5,Corporate office,bidhannagar
Sanhita,,,Corporate office,bidhannagar
ITD Cementation India Limited,4.8,19,Corporate office,bidhannagar
Magnacon Electricals (I) Ltd,4.5,65,Corporate office,bidhannagar
Imagine Tech Park - Genpact Kolkata Salt Lake Sector V,4.7,146,Corporate office,bidhannagar
PwC Magnacon,4.8,45,Corporate office,bidhannagar
Office Stesalit Towers,4.1,320,Corporate office,bidhannagar
Techno India Group,4.1,"3,361",Corporate office,bidhannagar
PS Srijan Corporate Park,4.4,674,Corporate campus,bidhannagar
PALLISHREE LIMITED Best Seeds Producer,4.9,24,Corporate office,bidhannagar
Systron Building,4.1,56,Corporate office,bidhannagar
DHL Smart Trucking East Regional Office,,,Corporate office,bidhannagar
Second Vivekananda Bridge Tollway Company Private Limited (Corporate Office),1.0,2,Corporate office,bidhannagar
BIZOFLY INDIA PVT LTD,3.7,3,Corporate office,bidhannagar
Signet Tower,4.0,210,Corporate office,bidhannagar
"Godrej Waterside - Tower 2, Kolkata",4.5,"1,471",Corporate office,bidhannagar
3rd.Life,3.5,88,Corporate office,bidhannagar
PTI Building,4.1,54,Corporate office,bidhannagar
Eternity Building,4.1,156,Corporate office,bidhannagar
"Jio Regional Office, Kolkata",4.1,144,Corporate office,bidhannagar
Om Innovation,2.8,78,Corporate office,bidhannagar
Acknit Industries Limited,4.3,9,Corporate office,bidhannagar
USV Private Limited Kolkata Regional Office,4.0,23,Corporate office,bidhannagar
Pauro Bhaban,4.7,3,Corporate office,bidhannagar
Teleminds Infotech Pvt. Ltd.,3.2,270,Corporate office,bidhannagar
Linc Pen & Plastics Pvt Ltd,4.9,12,Corporate office,bidhannagar
Merlin Infinite,4.4,"1,330",Corporate office,bidhannagar
RT NETWORK SOLUTIONS PVT LTD,3.9,64,Corporate office,bidhannagar
Indorama Industries Limited,5.0,1,Corporate office,bidhannagar
Hiranmaye Energy Limited,,,Corporate office,bidhannagar
Baazar Kolkata Head Office,4.2,83,Corporate office,bidhannagar
Primarc Tower,4.1,200,Corporate office,bidhannagar
ACCE GLOBAL SOFTWARE,3.9,133,Corporate office,bidhannagar
Cloud Vista Services,3.8,48,Corporate office,bidhannagar
Soffront Software Pvt Ltd,4.0,27,Corporate office,bidhannagar
Regaal Resources Limited,4.4,23,Corporate office,bidhannagar
Sterling and Wilson Ltd.,4.3,124,Corporate office,bidhannagar
Press Trust Of India (PTI) Eastern Region HQ,4.0,4,Corporate office,bidhannagar
HDFC Sales Corporate Office,4.6,16,Corporate office,bidhannagar
Imagine Techpark,4.2,6,Corporate office,bidhannagar
Godrej Genesis,3.7,"1,260",Building design company,bidhannagar
Shilpangan,4.0,196,Corporate office,bidhannagar
Deloitte Haskins & Sells,4.8,19,Corporate office,bidhannagar
Srijan Techpark,4.3,"1,739",Corporate office,bidhannagar
Sidco Global Tower,4.1,106,Corporate office,bidhannagar
GPT Group,4.4,134,Corporate office,bidhannagar
The Meridian,3.9,95,Corporate office,bidhannagar
EPTISA,4.2,39,Corporate office,bidhannagar
Zucol Group (Locus Rags),3.2,56,Corporate office,bidhannagar
Reliance Jio Office,3.4,22,Back Office,darjeeling
"LIC of India, Branch Office",3.7,40,Insurance company,darjeeling
Max Life Insurance,3.5,19,Insurance company,darjeeling
Bajaj Allianz Life Insurance Company Limited,3.6,27,Life insurance agency,darjeeling
Ecom Express,2.2,171,Logistics service,darjeeling
Airtel Store,3.6,58,Telecommunications service provider,darjeeling
Clubside Tours and Travels Pvt. Ltd.,4.5,56,Travel agency,darjeeling
Bajaj Finserv Service Branch,5.0,1,Financial institution,darjeeling
Darjeeling Times,2.5,2,Media company,darjeeling
Ashmita Trek & Tours,4.6,268,Tour operator,darjeeling
BLUE DART / DHL,2.4,46,Courier service,darjeeling
Garg Bhawan,,,Housing complex,darjeeling
DTDC COURIER SERVICE DARJEELING,1.7,13,Courier service,darjeeling
Post Office Bazar,3.9,9,Post office,darjeeling
Happy Valley Tea Estate,4.4,"2,227",Garden,darjeeling
Hotel lalit cottage Darjeeling,5.0,1,Apartment building,darjeeling
Moktan La Dhim,1.0,2,Apartment building,darjeeling
Heyagriva the comfort Everest Home stay,4.9,411,2-star hotel,darjeeling
Prayas Services (Vodafone Store),1.5,2,Electronics store,darjeeling
Anutri Hill Resort,4.6,676,Hotel,darjeeling
CISF CAMP (UNIT TLD -III) Darjeeling,4.3,7,Government office,darjeeling
Nepal Curio House,3.4,20,Antique store,darjeeling
MJB Group,4.2,23,Corporate office,darjeeling
Darjeeling,,,West Bengal,darjeeling
Glenburn Tea Estate,4.8,894,3-star hotel,darjeeling
Darjiling,,,West Bengal,darjeeling
Bhola Bhawan,5.0,1,Condominium complex,darjeeling
Pineridge Travels,4.3,6,Travel agency,darjeeling
Ingram Durgapur,3.7,7,Corporate office,durgapur
alstom office,4.1,15,Corporate office,durgapur
Webel IT PARK - Durgapur,4.2,566,Corporate office,durgapur
"R. S. CONSTRUCTION & CO, Head Office",3.5,4,Corporate office,durgapur
Lnt Durgapur,4.3,31,Corporate office,durgapur
"Amul Office,GCMMF LTD, DURGAPUR DEPOT",4.6,9,FMCG Manufacturer,durgapur
Pinnacle Infotech Solutions,4.3,635,Corporate office,durgapur
Suguna office,5.0,4,Corporate office,durgapur
Touchteck Facility Management Services Pvt. Ltd.,5.0,1,Corporate office,durgapur
KMC & COMPANY,5.0,4,Corporate office,durgapur
Future Group of Company (Corporate Office),2.9,12,Security guard service,durgapur
Toolsvilla.com,4.4,"1,727",E - Commerce Agency,durgapur
ColorBracket Technologies LLP,4.4,17,Corporate office,durgapur
"City Centre, Durgapur",4.2,"6,876",Corporate office,durgapur
SS Solution | Durgapur,3.6,52,Corporate office,durgapur
SASP & Associates ( Chartered Accountant),4.7,42,Corporate office,durgapur
l&t workshop with office,4.8,12,Mining equipment,durgapur
AGE Durgapur,,,Corporate office,durgapur
Food Corporation Of India,3.4,14,Government office,durgapur
Shyam Steel Industries Ltd.,4.2,121,Manufacturer,durgapur
Ambey Mining Pvt. Ltd.,4.1,63,Mining company,durgapur
"Office Of The Divisional Manager, WBSEDCL",3.4,7,Corporate office,durgapur
"Zonal Ordanance Factory, CISF DSP DURGAPUR",4.8,4,Electronics store,durgapur
Loombiz Consultancy Pvt Ltd,4.4,"1,448",Corporate office,durgapur
Angel Broking,4.2,5,Corporate office,durgapur
Durgapur Iron & Steel Co. Pvt. Ltd.,3.1,9,Iron & Steel Industry,durgapur
Durgapur Iron & Steel Shop,4.3,35,Iron & Steel Store,durgapur
ICICI Prudential Life Insurance Company Limited,3.6,39,Insurance company,durgapur
SPS Steels Rolling Mills Limited - Structure Mill,3.8,25,Steel construction company,durgapur
"Durgapur Area Office, WBSETCL",2.4,9,Electric utility company,durgapur
SASP & Associates Office.,3.2,5,Corporate office,durgapur
L&T construction & Mining Machinery,4.3,10,Real Estate Builders & Construction Company,durgapur
S.P.S. Steels Rollings Mills Ltd.,3.9,23,Iron & Steel Industry,durgapur
BusyBess Logistics Solutions Pvt. Ltd,3.5,2,Corporate office,durgapur
Future Group Of Company,4.0,4,Security service,durgapur
Neck Down Generation Pvt. Ltd.,4.0,55,BPO Company,durgapur
Indian Oil Corporation Limited,4.3,116,Oil & natural gas company,durgapur
Eureka Forbes Ltd,3.7,3,Water purification company,durgapur
Metcon Power Consultant & Engineers,4.9,11,Corporate office,durgapur
COSTEEL PROCESSING PRIVATE LTD.,3.0,1,Steel fabricator,durgapur
Nippon India Mutual Fund,5.0,21,Investment company,durgapur
Cholamandalam MS General Insurance Company Ltd,3.9,47,Insurance company,durgapur
Kamdhenu,4.5,2,Steel fabricator,durgapur
Durgapur,,,Home automation company,durgapur
"Heartnsoul Soft Private Limited - Website and Mobile App Development Company, India",3.2,43,Software company,durgapur
PAN OFFICE - NSDL DURGAPUR,,,Legal services,durgapur
"CISF UNIT , DTPS.",3.9,111,Corporate office,durgapur
"Durgapur Industrial Park-II, WBSIDC Ltd",,,Government office,durgapur
Code Galaxy,4.4,16,Software company,durgapur
National Insurance Co Ltd,3.9,143,Insurance company,durgapur
BARUI SAFETY MATERIAL SUPPLY,5.0,11,Industrial equipment supplier,durgapur
"Tata Capital- Apply for Commercial & SME Finance Loan, Business Loan and other Loans in Durgapur",3.1,18,Financial consultant,durgapur
Edelweiss Tokio Life Insurance Company Ltd. - Durgapur Branch,3.5,13,Insurance company,durgapur
"WBECSC Ltd., DURGAPUR, PASCHIM BARDHAMAN",4.5,6,District government office,durgapur
Sis India Ltd,4.1,39,Security service,durgapur
Asansol Durgapur Development Authority,3.9,47,State government office,durgapur
Star Health and Allied Insurance Co Ltd,3.6,18,Insurance company,durgapur
