Company_name,review,no_review,type,region
"Panasonic India pvt ltd, Kolkata main Office",3.9,54,Corporate office,kolkata
Britannia Industries Limited,3.8,35,Corporate office,kolkata
Ceasefire Industries Private Limited,4.9,14,Corporate office,kolkata
Bata Registered Office,4.2,25,Corporate office,kolkata
ITC Limited,4.6,312,Corporate office,kolkata
HEAD OFFICE (Indian National Trinomul Trade Union Congress),3.7,3,Corporate office,kolkata
Krypton Industries Limited,4.8,15,Corporate office,kolkata
"Kantar IMRB, Kolkata",3.8,69,Corporate office,kolkata
Mankind Pharma office,4.1,15,Corporate office,kolkata
DCPL Office,4.2,35,Software company,kolkata
Birla Sugar,4.1,7,Corporate office,kolkata
Mondelez International,3.8,8,Corporate office,kolkata
Kantar operations(IMRB),4.3,48,Corporate office,kolkata
MSTC LIMITED,3.8,11,Corporate office,kolkata
Hindustan Motors Limited,4.2,10,Corporate office,kolkata
ITC Centre,4.6,279,Corporate office,kolkata
Monginis Head office,4.4,8,Corporate office,kolkata
Canberg Global Sourcing Pvt. Ltd.,4.1,24,Corporate office,kolkata
"TENOVA INDIA PVT LTD, KOLKATA",5.0,1,Corporate office,kolkata
IRCON Regional Office,4.6,12,Corporate office,kolkata
N.J.M.C. Ltd.,4.7,6,Corporate office,kolkata
Universal Corporation Ltd.,2.9,44,Corporate office,kolkata
Kellogg India Pvt Ltd,4.2,5,Food products supplier,kolkata
OnProcess Technology,4.0,145,Corporate office,kolkata
Sriram Associates Private Limited,,,Corporate office,kolkata
Danone Kolkata,5.0,4,Corporate office,kolkata
White Owl Services,,,Corporate office,kolkata
Crescent Foundry,3.8,13,Manufacturer,kolkata
The LYNQ Group,3.9,19,Corporate office,kolkata
J.B. Norton & Co.,4.4,5,Corporate office,kolkata
"Protiviti, Kolkata",4.6,39,Corporate office,kolkata
Alstom,4.0,6,Manufacturer,kolkata
Sonodyne Pvt. Ltd.,3.4,14,Corporate office,kolkata
Garware Technical Fibres,4.7,3,Corporate office,kolkata
L'OREAL,4.3,85,Corporate office,kolkata
Genpact India,4.3,879,Corporate office,kolkata
Foxin,4.6,54,Corporate office,kolkata
Almatis Alumina Pvt. Ltd.,4.6,7,Aluminium Supplier,kolkata
DVC Towers Kolkata,4.4,328,Corporate office,kolkata
Oswal Chambers,3.9,385,Corporate office,kolkata
CLOSET Main Headquarters,,,Manufacturer,kolkata
PEERLESS BHAVAN,4.4,61,Corporate office,kolkata
Wipro Tower 1,4.5,64,Corporate office,kolkata
Sodexo Kolkata,4.4,49,Corporate office,kolkata
IFB Industries Limited,2.8,13,Manufacturer,kolkata
HPCL GMO & EZ Office,4.5,138,Corporate office,kolkata
Standard Robotics Corporation,,,Electronics manufacturer,kolkata
Microsoft Corporation India Pvt Ltd (Kolkata Office),4.5,34,Corporate office,kolkata
Spencers Retail Limited,4.0,131,Corporate office,kolkata
Swiggy office,3.2,84,Corporate office,kolkata
Pallishree Ltd.,3.4,5,Food products supplier,kolkata
Web Design Company - ibuildsite,5.0,2,Website designer,kolkata
Teoco Software Pvt. Ltd.,4.4,69,Corporate office,kolkata
Inspira Group,,,Corporate office,kolkata
Esri India Technologies Ltd.,5.0,4,Corporate office,kolkata
PUMA Regional Office East,5.0,3,Corporate office,kolkata
United Tower,4.5,777,Corporate office,kolkata
Country Bean,4.8,279,Corporate office,kolkata
NEOMACHINE Mfg. Co. Pvt. Ltd.,4.0,2,Pharmaceutical company,kolkata
Birla Buildings Limited,4.4,544,Corporate office,kolkata
Nalco Water India Ltd.,,,Manufacturer,kolkata
E M B,,,Manufacturer,kolkata
Hamon Research-Cottrell,5.0,1,Corporate office,kolkata
Ktsclick E-Solution Pvt Ltd.,4.1,41,Corporate office,kolkata
Ashika Stock Broking Ltd.,4.7,22,Corporate office,kolkata
Ruth & Company Private Limited,4.0,10,Manufacturer,kolkata
Sankalp Semiconductor Pvt Ltd,4.6,25,Corporate office,kolkata
Strathspey,4.0,19,Pharmaceutical company,kolkata
Industrial Boilers Ltd,,,Manufacturer,kolkata
MAXWELL GROUP,4.3,3,Corporate office,kolkata
Mangalam Business Centre,4.2,144,Corporate office,kolkata
"Godrej Waterside - Tower 2, Kolkata",4.5,"1,471",Corporate office,kolkata
Metro Tower,4.2,131,Corporate office,kolkata
Victoria House,4.3,102,Corporate office,kolkata
Msd Pharmaceuticals Pvt. Ltd.,,,Pharmaceutical company,kolkata
Lexmark International India(Pvt) Limited,4.4,117,Corporate office,kolkata
Turtle Limited Head Office,4.1,11,Corporate office,kolkata
The West BenÂ­gal Power DevelÂ­opÂ­ment CorÂ­poÂ­raÂ­tion Limited,4.3,173,Corporate office,kolkata
Coal India Limited,4.6,412,Mining company,kolkata
Balmer Lawrie .,4.0,62,Manufacturer,kolkata
McNROE Consumer Products Pvt Ltd,4.0,87,Corporate office,kolkata
Indian Chamber of Commerce,4.4,173,Corporate office,kolkata
Lenze Mechatronics Pvt. Ltd.,5.0,2,Automation company,kolkata
RPSG Ventures Limited,5.0,2,Corporate office,kolkata
Bengal Intelligent Park,4.5,136,Corporate campus,kolkata
Mahindra & Mahindra Limited,3.9,25,Manufacturer,kolkata
Cognizant Technology Solutions,4.4,"2,044",Corporate office,kolkata
RPSG HOUSE,4.7,134,Corporate office,kolkata
Bellissa Pharmaceuticals Pvt. Ltd.,4.8,12,Pharmaceutical company,kolkata
Fusion - BPM Solutions Provider in India,3.7,"1,446",Corporate office,kolkata
Sabyasachi Couture,4.3,60,Corporate office,kolkata
Intelligent Image Management Pvt. Ltd (IIMI),3.3,92,Corporate office,kolkata
iMerit Technology,4.3,430,Corporate office,kolkata
Process Galvaniser,5.0,1,Manufacturer,kolkata
Khadim India Ltd. Corporate Office,4.3,116,Corporate office,kolkata
"S.H.I.E.L.D. HEADQUARTERS KOLKATA, 105/68A",,,Apartment building,kolkata
HYDROTECH ENGINEERS,2.0,2,Corporate office,kolkata
Goldfinn Technologies,4.0,5,Corporate office,kolkata
INDUSTRIAL & COMMERCIAL ENTERPRISES,,,Manufacturer,kolkata
SAMSUNG INDIA ELECTRONICS PVT. LTD,3.6,22,Corporate office,kolkata
Avani Signature,4.2,154,Corporate office,kolkata
LUX INDUSTRIES LTD,4.4,118,Corporate office,kolkata
CIL Office,4.5,53,Corporate office,kolkata
Ericsson India Global Services Pvt. Ltd. Kolkata office,4.6,"1,308",Corporate office,kolkata
Netcamp Solutions Private Limited,4.9,"1,204",Corporate office,kolkata
Technopolis Building,4.4,"5,618",Corporate office,kolkata
SMS group - SMS India Pvt Ltd.,4.5,14,Metal fabricator,kolkata
DM Aromatics,5.0,1,Corporate office,kolkata
South City Pinnacle,4.4,903,Corporate office,kolkata
Secure Meter Ltd,4.8,19,Corporate office,kolkata
Infinity BenchMark,4.4,"1,048",Corporate office,kolkata
Recex.co,4.5,130,Corporate office,kolkata
Millennium City IT Park (Rungta Group),4.5,"1,332",Corporate office,kolkata
JUVAS,3.4,29,Electronics manufacturer,kolkata
Ideal Centre,4.1,115,Corporate office,kolkata
Alstom,4.0,6,Manufacturer,sealdah
Divisional Railway Manager Office Sealdah,3.9,71,City government office,sealdah
LINXON INDIA PVT LTD,5.0,2,Corporate office,sealdah
ECL,3.0,1,Corporate office,sealdah
Microsoft Corporation India Pvt Ltd (Kolkata Office),4.5,34,Corporate office,sealdah
Sealdah Main Station,4.4,157,Train yard,sealdah
Ceasefire Industries Private Limited,4.9,14,Corporate office,sealdah
Turbot HQ India Private Limited,5.0,9,Corporate office,sealdah
OnProcess Technology,4.0,145,Corporate office,sealdah
MyTasker - Virtual Assistant Company,4.5,117,Business management consultant,sealdah
Exide Industries Limited,4.2,214,Corporate office,sealdah
Global IDs,4.4,68,Software company,sealdah
Sealdah,4.2,"30,386",Train station,sealdah
Esri India Technologies Ltd.,5.0,4,Corporate office,sealdah
Sodexo Kolkata,4.4,49,Corporate office,sealdah
National Insurance,4.4,26,Insurance company,sealdah
ABM Techno-Matrix Private Limited,4.5,65,Software company,sealdah
Khadim India Ltd. Corporate Office,4.3,116,Corporate office,sealdah
Baazar Kolkata Head Office,4.2,83,Corporate office,sealdah
Canberg Global Sourcing Pvt. Ltd.,4.1,24,Corporate office,sealdah
E M B,,,Manufacturer,sealdah
Cognizant Technology Solutions,4.4,"2,044",Corporate office,sealdah
"Godrej Waterside - Tower 2, Kolkata",4.5,"1,471",Corporate office,sealdah
Bandhan Bank Head Office,4.1,411,Corporate office,sealdah
Lenze Mechatronics Pvt. Ltd.,5.0,2,Automation company,sealdah
Sterling and Wilson Ltd.,4.3,124,Corporate office,sealdah
iMerit Technology,4.3,430,Corporate office,sealdah
"Protiviti, Kolkata",4.6,39,Corporate office,sealdah
Itobuz Technologies Pvt. Ltd.,4.7,41,Software company,sealdah
HEAD OFFICE (Indian National Trinomul Trade Union Congress),3.7,3,Corporate office,sealdah
CIL Office,4.5,53,Corporate office,sealdah
Jio Centre Sealdah,3.6,465,Telecommunications service provider,sealdah
Dongfang Electric (I) Pvt. Ltd.,4.3,195,Corporate office,sealdah
Teoco Software Pvt. Ltd.,4.4,69,Corporate office,sealdah
McNROE Consumer Products Pvt Ltd,4.0,87,Corporate office,sealdah
Belluga Papers Private Limited,4.6,15,Paper mill,sealdah
Corporate office,,,Corporate office,sealdah
Orchid DMC Private Limited,5.0,3,Corporate office,sealdah
Indoco Remedies Limited,3.9,8,Pharmaceutical company,sealdah
RS Software India Ltd.,4.2,"2,689",Software company,sealdah
Indian Political Action Committee,4.3,95,Corporate office,sealdah
Fusion - BPM Solutions Provider in India,3.7,"1,446",Corporate office,sealdah
Indian Bureau of Mines,3.8,6,Government office,sealdah
Sequel Logistics Private Limited,4.0,8,Corporate office,sealdah
SMS group - SMS India Pvt Ltd.,4.5,14,Metal fabricator,sealdah
Wipro Tower 1,4.5,64,Corporate office,sealdah
South City Pinnacle,4.4,903,Corporate office,sealdah
PUMA Regional Office East,5.0,3,Corporate office,sealdah
MSTC LIMITED,3.8,11,Corporate office,sealdah
Millennium City IT Park (Rungta Group),4.5,"1,332",Corporate office,sealdah
SAMSUNG INDIA ELECTRONICS PVT. LTD,3.6,22,Corporate office,sealdah
Secure Meter Ltd,4.8,19,Corporate office,sealdah
Toshiba Transmission & Distribution Systems (India) Pvt. Ltd.,4.5,10,Corporate office,sealdah
Mondelez International,3.8,8,Corporate office,sealdah
Pursuit Software INC.,4.5,92,Software company,sealdah
Siddha Corporate office,2.2,13,Corporate office,sealdah
Mankind Pharma office,4.1,15,Corporate office,sealdah
DVC Towers Kolkata,4.4,328,Corporate office,sealdah
CloudKaptan Consultancy Services Pvt Ltd.,4.1,93,Software company,sealdah
IFB Industries Limited,2.8,13,Manufacturer,sealdah
Bata Registered Office,4.2,25,Corporate office,sealdah
MAXWELL GROUP,4.3,3,Corporate office,sealdah
PS Srijan Corporate Park,4.4,674,Corporate campus,sealdah
Dalmia Office,3.8,18,Corporate office,sealdah
Techno India Group (Corporate Office),3.5,4,Corporate office,sealdah
J.B. Norton & Co.,4.4,5,Corporate office,sealdah
Moglix,4.1,9,E-commerce service,sealdah
Hindustan Motors Limited,4.2,10,Corporate office,sealdah
Bengal Chemicals,4.4,48,Chemical Manufacturer,sealdah
LUX INDUSTRIES LTD,4.4,118,Corporate office,sealdah
Sunknowledge Services Inc.,4.1,690,Medical billing service,sealdah
Prime Thermals Private Limited,5.0,1,Boiler Manufacturer,sealdah
Birla Sugar,4.1,7,Corporate office,sealdah
Oil India Limited (Main Office Kolkata),4.7,39,Corporate office,sealdah
IRCON Regional Office,4.6,12,Corporate office,sealdah
oyo rooms in kolkata,2.1,44,Corporate office,sealdah
Sriram Associates Private Limited,,,Corporate office,sealdah
"Fairlie Place, Eastern Railway Head Office",4.2,"1,175",Corporate office,sealdah
Eveready Industries India Ltd.,4.4,112,Corporate office,sealdah
HYDROTECH ENGINEERS,2.0,2,Corporate office,sealdah
Emami Agrotech Limited,4.4,177,Corporate office,sealdah
ITC Centre,4.6,279,Corporate office,sealdah
Krypton Industries Limited,4.8,15,Corporate office,sealdah
ITC Limited,4.6,312,Corporate office,sealdah
Himalaya Optical Corporate Office - Kolkata,4.6,40,Corporate office,sealdah
Ashirvad Food Products Pvt. Ltd.,3.1,7,Corporate office,sealdah
Denave India Pvt. Ltd.,3.6,11,Corporate office,sealdah
Dollar Industries Limited,4.1,176,Corporate office,sealdah
Country Bean,4.8,279,Corporate office,sealdah
Britannia Industries Limited,3.8,35,Corporate office,sealdah
Bharat Heavy Electricals Limited,4.6,46,Manufacturer,sealdah
Office,3.0,2,Corporate office,sealdah
Infinity BenchMark,4.4,"1,048",Corporate office,sealdah
White Owl Services,,,Corporate office,sealdah
ASVOUT BIOTECH PVT. LTD.,4.8,21,Pharmaceutical company,sealdah
Godrej Genesis,3.7,"1,260",Building design company,sealdah
Unified Infotech | Best Web Design and Development Company In India,4.1,180,Website designer,sealdah
Technopolis Building,4.4,"5,618",Corporate office,sealdah
Sealdah metro station,4.6,126,Transport interchange,sealdah
The West BenÂ­gal Power DevelÂ­opÂ­ment CorÂ­poÂ­raÂ­tion Limited,4.3,173,Corporate office,sealdah
Genpact India,4.3,879,Corporate office,sealdah
Universal Corporation Ltd.,2.9,44,Corporate office,sealdah
Lexmark International India(Pvt) Limited,4.4,117,Corporate office,sealdah
Hindusthan National Glass & Industries Ltd,4.0,57,Corporate office,sealdah
"Kantar IMRB, Kolkata",3.8,69,Corporate office,sealdah
SMSRC Private Limited,3.8,28,Corporate office,sealdah
Ideal Centre,4.1,115,Corporate office,sealdah
Rausheena Group,4.8,4,Business management consultant,sealdah
Finarb consulting,4.4,119,Corporate office,sealdah
Magnacon Electricals (I) Ltd,4.5,65,Corporate office,sealdah
bureau veritas,4.0,3,Corporate office,sealdah
XRIG,4.8,128,Computer Hardware Company,sealdah
NGB HQ Industrial Unit,4.3,37,Engineering consultant,sealdah
Spencers Retail Limited,4.0,131,Corporate office,sealdah
Oswal Chambers,3.9,385,Corporate office,sealdah
Nistula Business Solution Private Limited,5.0,2,Corporate office,sealdah
Ashika Stock Broking Ltd.,4.7,22,Corporate office,sealdah
Kantar operations(IMRB),4.3,48,Corporate office,sealdah
Asyst Park,4.2,"1,890",Corporate office,sealdah
"Vidyut Bhavan, Head Quarter Of WBSEDCL",4.3,722,Corporate office,sealdah
Siliguri Krisak Sathi Farmers Producer Company Limited,,,Corporate office,siliguri
Palak Group Head Office,,,Corporate office,siliguri
VirVentures Siliguri,4.4,17.0,Corporate office,siliguri
Hiran Kutir Corporate Office,5.0,1.0,Corporate office,siliguri
Anchor Panasonic Projects Sales Branch Siliguri,3.0,4.0,Electrical equipment manufacturer,siliguri
PCM Group,4.7,6.0,Corporate office,siliguri
Ganpati Additives Pvt. Ltd. - Siliguri Branch,3.0,1.0,Corporate office,siliguri
mus technology pvt ltd.,2.5,19.0,Corporate office,siliguri
S.N POLYMERS PVT LTD,4.7,3.0,Corporate office,siliguri
Saloni Tea Co.,4.8,8.0,Corporate office,siliguri
Ansh Trading Company,3.9,76.0,Corporate office,siliguri
Kalkaji Enterprises,4.2,46.0,Corporate office,siliguri
Siemens Siliguri,4.0,3.0,Corporate office,siliguri
MJB Group,4.2,23.0,Corporate office,siliguri
Annapurna Group,,,Corporate office,siliguri
Kalkaji Glasses Pvt Ltd,4.0,15.0,Corporate office,siliguri
Pinky Lee,5.0,4.0,Manufacturer,siliguri
Siliguri Merchant Association,4.2,5.0,Corporate office,siliguri
Gaurav Enterprises,,,Corporate office,siliguri
Indian Oil Corporation Office,4.4,24.0,Petroleum Products Company,siliguri
Rainbow,4.0,7.0,Corporate office,siliguri
Ultratech Cement Ltd,4.8,5.0,Corporate office,siliguri
"Sahara India Pariwar Fc Office,sevoke Road",4.0,4.0,Corporate office,siliguri
Kurseong Carriers Private Limited,4.7,7.0,Corporate office,siliguri
Shyam Vihar Complex,3.3,8.0,Corporate office,siliguri
KS ENTERPRISE,,,Manufacturer,siliguri
Iffco,5.0,1.0,Corporate office,siliguri
Shiv Builder Center,4.0,3.0,Corporate office,siliguri
India bulls,5.0,1.0,Corporate office,siliguri
Paramount Tea Marketing,5.0,3.0,Corporate office,siliguri
Deesha Trade Endeavours P. Ltd.,4.5,48.0,Tea Manufacturer,siliguri
Excel to Invest,5.0,1.0,Corporate office,siliguri
Techno Developers Group,4.6,29.0,Software company,siliguri
Malnady Tea Garden office,,,Tea Manufacturer,siliguri
Indian Oil Corporation Limited,4.3,147.0,Oil & natural gas company,siliguri
Mech Industry,5.0,1.0,Manufacturer,siliguri
Oriens Office Sevoke Road,5.0,3.0,Business networking company,siliguri
Baijanti Engicon Pvt Ltd,5.0,1.0,Hydroelectric power plant,siliguri
The New India Assurance Co. Ltd,3.7,56.0,Insurance company,siliguri
Cholamandalam MS General Insurance Company Ltd,2.7,12.0,Insurance company,siliguri
Tata Aia Life Insurance Company Limited,4.2,33.0,Insurance company,siliguri
instakart Services Pvt Ltd. Ekart(Flipkart) Siliguri,2.3,16.0,Corporate office,siliguri
Maa Ambay Vincom Pvt. Ltd.,4.0,1.0,Construction equipment supplier,siliguri
GCMMF (Amul) Depot,4.2,9.0,FMCG Manufacturer,siliguri
Kanch Ghar Factory,4.9,7.0,Glass manufacturer,siliguri
"Narmada Agencies, Siliguri",4.0,4.0,Paper distributor,siliguri
Software Technology Parks of India,4.0,15.0,Central Government Office,siliguri
Surajmukhi Tea Private Limited,5.0,155.0,Tea Manufacturer,siliguri
Star cement,4.3,4.0,Office Accessories Wholesaler,siliguri
"Technogleam-Website Design, Digital Marketing, Mobile App Development Company in Siliguri",4.7,138.0,Website designer,siliguri
"LIC of India, Branch Office",3.9,359.0,Insurance company,siliguri
Fixfin Technologies Pvt. Ltd.,4.9,32.0,Software company,siliguri
"Club Mahindra Holidays & Resorts, Customer Direct Sales Offices, Silliguri",,,Timeshare agency,siliguri
SIS India - SILIGURI Branch Office,3.6,56.0,Security service,siliguri
Blue Minch,4.9,772.0,Internet marketing service,siliguri
"LIC of India, Branch Office",4.1,47.0,Insurance company,siliguri
Bengal Battery Co,5.0,513.0,Battery Store,siliguri
Bajaj Finserv Service Branch,3.8,17.0,Financial institution,siliguri
MakeMyTrip India Private Limited,4.1,140.0,Tour operator,siliguri
Matigara L&T Office,4.0,3.0,Business networking company,siliguri
Ecom exprees siliguri office,1.5,127.0,Courier service,siliguri
E-Tender & Online Support Desk,5.0,1.0,Corporate office,siliguri
Krishna Computers,3.4,5.0,Computer support and services,siliguri
Everyonic communications private limited,1.0,3.0,Computer consultant,siliguri
